N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,500",200,+0.26%,100,"4,626,581","5,969,783",51.98,"9,292,415",16.32,9.99,
2,SK하이닉스,"104,500",500,+0.48%,"5,000","760,762","728,002",46.97,"1,496,816",13.07,9.53,
3,NAVER,"402,500","3,000",-0.74%,100,"661,160","164,263",56.61,"380,496",4.01,15.22,
4,삼성바이오로직스,"922,000",0,0.00%,"2,500","610,041","66,165",10.62,"42,309",182.21,N/A,
5,삼성전자우,"71,600",100,-0.14%,100,"589,187","822,887",75.24,"1,050,654",15.08,N/A,
6,LG화학,"768,000","7,000",+0.92%,"5,000","542,149","70,592",46.51,"186,502",20.69,2.93,
7,카카오,"120,000",500,+0.42%,100,"533,991","444,992",30.54,"3,167,749",111.84,2.70,
8,삼성SDI,"730,000","4,000",+0.55%,"5,000","501,981","68,765",44.93,"255,855",54.09,4.54,
9,현대차,"204,000","3,000",-1.45%,"5,000","435,883","213,668",28.64,"475,994",14.78,2.04,
10,셀트리온,"267,500","7,000",-2.55%,"1,000","368,975","137,935",20.89,"423,539",62.72,16.68,
11,기아,"82,000",600,-0.73%,"5,000","332,398","405,363",34.61,"785,959",9.57,5.05,
12,카카오뱅크,"69,300",300,+0.43%,"5,000","329,244","475,100",5.45,"1,059,570",224.27,5.08,
13,POSCO,"340,000","5,000",-1.45%,"5,000","296,435","87,187",55.30,"194,015",7.69,3.61,
14,현대모비스,"259,000","1,000",-0.38%,"5,000","245,514","94,793",35.15,"227,856",11.11,4.66,
15,크래프톤,"499,000","6,000",+1.22%,100,"244,268","48,951",6.27,"185,301",42.96,61.86,
16,삼성물산,"127,500",500,-0.39%,100,"238,281","186,887",15.12,"172,857",14.54,3.81,
17,SK이노베이션,"251,000","2,000",+0.80%,"5,000","232,089","92,466",23.52,"325,849",-52.00,-13.58,
18,SK텔레콤,"320,500","12,000",+3.89%,500,"230,953","72,060",44.32,"361,343",12.17,6.44,
19,LG전자,"138,500","1,000",-0.72%,"5,000","226,652","163,648",30.52,"431,956",16.76,13.23,
20,KB금융,"52,900",100,-0.19%,"5,000","219,962","415,808",67.62,"855,819",5.21,8.53,
21,SK바이오사이언스,"283,500","9,000",+3.28%,500,"216,878","76,500",5.67,"1,103,330",138.09,13.25,
22,LG생활건강,"1,345,000","6,000",+0.45%,"5,000","210,065","15,618",45.15,"15,534",28.24,17.92,
23,신한지주,"39,450",200,-0.50%,"5,000","203,799","516,600",60.52,"794,327",5.11,8.20,
24,SK,"266,000","3,000",-1.12%,200,"187,158","70,360",19.79,"167,922",17.17,1.11,
25,HMM,"38,300",250,+0.66%,"5,000","155,265","405,392",9.71,"2,856,870",24.26,8.93,
